alignment_seed,source_git_commit,params_sha256,selection_path,summary_path,candidate_type,model_type,ablation,reranker_seed,metric_for_best,best_epoch,best_val_metric,stop_epoch,early_stopped,upper_bound_pct,base_top1_pct,base_top5_pct,base_top10_pct,base_top20_pct,base_mrr_raw,rerank_top1_pct,rerank_top5_pct,rerank_top10_pct,rerank_top20_pct,rerank_mrr_raw
42,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/a2280d2_massspecgym_nopretrain_valoverlapclean/alignment_selection.json,checkpoints_rerank/a2280d2_massspecgym_nopretrain_valoverlapclean_topk40_multiseed/summary.csv,mass,transformer,full,43,mrr,12,0.6502539758127874,17,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,68.3527,77.1759,79.7106,82.1542,0.7238
42,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/a2280d2_massspecgym_nopretrain_valoverlapclean/alignment_selection.json,checkpoints_rerank/a2280d2_massspecgym_nopretrain_valoverlapclean_topk40_multiseed/summary.csv,mass,transformer,full,44,mrr,16,0.6514247147758596,21,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,68.6546,77.1246,79.8986,82.2796,0.7254
43,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43_topk40_multiseed/summary.csv,formula,pointwise,full,42,mrr,5,0.6603177897933404,10,True,81.653,45.0786,58.9086,65.818,73.5076,0.5185,69.7938,74.7779,76.9537,79.1752,0.7227
43,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43_topk40_multiseed/summary.csv,formula,pointwise,full,43,mrr,9,0.6595867927565584,14,True,81.653,45.0786,58.9086,65.818,73.5076,0.5185,69.5944,74.6981,77.1132,79.329,0.7214
43,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43_topk40_multiseed/summary.csv,formula,pointwise,full,44,mrr,4,0.6587510639085382,9,True,81.653,45.0786,58.9086,65.818,73.5076,0.5185,69.5318,74.6867,76.7259,79.1581,0.7202
43,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43_topk40_multiseed/summary.csv,formula,transformer,full,42,mrr,15,0.6629336139003896,20,True,81.653,45.0786,58.9086,65.818,73.5076,0.5185,69.5717,74.9772,77.1132,79.386,0.7213
43,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43_topk40_multiseed/summary.csv,formula,transformer,full,43,mrr,5,0.6614933216440506,10,True,81.653,45.0786,58.9086,65.818,73.5076,0.5185,69.0021,74.6924,76.9822,79.2607,0.7179
43,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43_topk40_multiseed/summary.csv,formula,transformer,full,44,mrr,7,0.6621702213655896,12,True,81.653,45.0786,58.9086,65.818,73.5076,0.5185,69.3324,74.7266,76.6746,79.3518,0.7196
43,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43_topk40_multiseed/summary.csv,mass,pointwise,full,42,mrr,12,0.6299826278710043,17,True,80.9809,35.9193,52.9278,61.5858,71.1722,0.4433,67.3958,74.6184,76.9537,78.9132,0.7077
43,28bdce232402cea3d656c790b12a9f32d1cc5382,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43/alignment_selection.json,checkpoints_rerank/transfer2026_massspecgym_nopretrain_valoverlapclean_alignseed43_topk40_multiseed/summary.csv,mass,pointwise,full,43,mrr,14,0.6306848925578094,19,True,80.9809,35.9193,52.9278,61.5858,71.1722,0.4433,66.6838,74.2652,76.5835,78.8733,0.7021
